order,partitions,RMSE,MAE,MAPE
3,15,0.05376563506659912,0.043295195383058344,6.902798016459679
4,15,0.05551369122821911,0.04284835277222709,6.7279559090343986
2,15,0.058328908384824754,0.046761517965354174,7.420295580263645
2,13,0.061130413256689005,0.05085384773973077,9.500560055929807
3,13,0.06177606535121169,0.048077027357575484,7.508089311271729
1,15,0.061790328697227774,0.04922400162743334,8.103913198515613
1,13,0.06205176757159534,0.05213748224990386,10.212115159279293
4,13,0.06643160532504502,0.048700730842287036,7.880608016579098
1,11,0.06903774453668585,0.05581819444625001,8.945296158040495
2,11,0.07161126792572774,0.05797206864525001,9.356547991234038
3,11,0.07434721386338332,0.057324463512306245,9.343461418464038
2,9,0.07642132306631243,0.06443733506055556,10.462065004011654
1,9,0.07754218964184406,0.06504545998197223,10.44689847873326
3,9,0.0775933602626744,0.06470014060516735,10.50664336897987
4,9,0.07894561339050973,0.06452964555877709,10.474512752986142
5,9,0.08091960069019515,0.0650125739466646,10.401143646055328
4,11,0.08162897395375178,0.061081135176418756,9.899844599895866
5,15,0.08657995595716621,0.05502728241279376,7.877297982156629
5,11,0.08973418929344106,0.0651455189103375,10.431365846108008
5,13,0.09259842681378307,0.0617917939608226,10.053766589023107
1,7,0.09568037210289063,0.07982903735585717,13.746613460624776
5,7,0.09583348954058203,0.08000870022992858,14.102571983902859
2,7,0.09668708335439256,0.08120735997867862,13.914503035073567
4,7,0.09698322863776035,0.08192542067510716,14.239180640274638
3,7,0.09774380002452036,0.08248360279925002,14.138224387220747
4,5,0.12152023460194156,0.09684133120530003,18.60747569534361
1,5,0.12205072184017846,0.09779787551670002,18.667139887791762
2,5,0.12236578482816261,0.09826958218880004,18.82975834331534
5,5,0.12271200119680743,0.09697016893695004,18.513225896380604
3,5,0.12353653389640096,0.09855655942455004,18.866215608273755
